participant_id,survey_source,topic,state,year,state_year_topic,perception,owner_party,own_013,cond1_z,cond2_z,condition_index_z,net_gub_approve_z,condition_1,condition_2,pid,gub_copartisan,owning_party_governor,copartisan_owned_governor,ideo3,white,black,male,bachelors,age_group,weight
kff16201327,kff16_aca,ACA,WV,2016,WV_2016_ACA,0,D,2,-0.97352458,0.244555448,-0.496012726,-0.117225286,enroll_pct_of_uninsured2010,premium,3,0,1,0,1,0,0,0,0,1,1.548699127
kff16201329,kff16_aca,ACA,MO,2016,MO_2016_ACA,1,D,2,0.802067935,0.661105648,0.995587722,-0.371220639,enroll_pct_of_uninsured2010,premium,1,1,1,1,1,1,0,0,0,3,0.578181007
kff16201335,kff16_aca,ACA,NM,2016,NM_2016_ACA,0,D,1,-0.991830731,1.605286099,0.417413655,-0.633552739,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,3,1.053115406
kff16201348,kff16_aca,ACA,NH,2016,NH_2016_ACA,0,D,2,0.844020552,1.142452545,1.351656596,-0.210468632,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,0,0,2,1.424803197
kff16201355,kff16_aca,ACA,CO,2016,CO_2016_ACA,1,D,2,-0.588169705,0.725902345,0.09371747,0.884699705,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,1,0,1,1,2,0.815648207
kff16201356,kff16_aca,ACA,DE,2016,DE_2016_ACA,0,D,3,0.456878586,0.272325462,0.49617257,1.699595302,enroll_pct_of_uninsured2010,premium,3,0,1,0,2,1,0,1,0,2,0.960193459
kff16201360,kff16_aca,ACA,FL,2016,FL_2016_ACA,0,D,0,1.310260077,0.911035767,1.511437123,-1.236817534,enroll_pct_of_uninsured2010,premium,2,0,0,0,3,0,0,1,0,1,1.620971753
kff16201364,kff16_aca,ACA,SD,2016,SD_2016_ACA,1,D,0,-0.045027955,0.522255581,0.324720164,0.774872072,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,0,0,0,0,2,2.261100725
kff16201376,kff16_aca,ACA,WV,2016,WV_2016_ACA,1,D,2,-0.97352458,0.244555448,-0.496012726,-0.117225286,enroll_pct_of_uninsured2010,premium,1,1,1,1,2,1,0,1,0,2,1.197660658
kff16201382,kff16_aca,ACA,NE,2016,NE_2016_ACA,1,D,1,1.164894659,0.494485568,1.129092679,0.540720551,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,1,0,2,1.269933284
kff16201385,kff16_aca,ACA,GA,2016,GA_2016_ACA,1,D,0,0.336714682,0.911035767,0.849007282,0.424409533,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,1,0,0,1,3,0.443960416
kff16201386,kff16_aca,ACA,IL,2016,IL_2016_ACA,0,D,1,-0.351439313,1.207249242,0.582319055,-1.085564372,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,2,0.536882364
kff16201389,kff16_aca,ACA,OK,2016,OK_2016_ACA,1,D,0,-0.448477351,0.735159016,0.195066908,NA,enroll_pct_of_uninsured2010,premium,1,0,0,0,2,0,1,1,0,1,2.033958187
kff16201394,kff16_aca,ACA,IL,2016,IL_2016_ACA,1,D,1,-0.351439313,1.207249242,0.582319055,-1.085564372,enroll_pct_of_uninsured2010,premium,1,0,0,0,1,0,1,1,1,1,0.722726259
kff16201398,kff16_aca,ACA,RI,2016,RI_2016_ACA,0,D,3,0.044456211,1.133195873,0.801310227,-2.33550213,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,0,1,2,0.918894815
kff16201400,kff16_aca,ACA,OK,2016,OK_2016_ACA,1,D,0,-0.448477351,0.735159016,0.195066908,NA,enroll_pct_of_uninsured2010,premium,NA,NA,0,NA,2,1,0,1,1,2,0.48525906
kff16201404,kff16_aca,ACA,LA,2016,LA_2016_ACA,0,D,2,0.014052687,0.300095475,0.213755945,-1.674739108,enroll_pct_of_uninsured2010,premium,3,0,1,0,2,1,0,1,0,2,1.197660658
kff16201406,kff16_aca,ACA,NC,2016,NC_2016_ACA,1,D,0,0.921560076,-0.033144684,0.604504801,-0.058846474,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,1,2.415970638
kff16201409,kff16_aca,ACA,OR,2016,OR_2016_ACA,0,D,3,-0.325605362,1.031372491,0.480225379,-0.353127875,enroll_pct_of_uninsured2010,premium,3,0,1,0,3,1,0,0,1,2,0.660778294
kff16201418,kff16_aca,ACA,IL,2016,IL_2016_ACA,0,D,1,-0.351439313,1.207249242,0.582319055,-1.085564372,enroll_pct_of_uninsured2010,premium,3,1,0,0,3,1,0,1,0,2,1.352530571
